Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Alt Text,Type,Group,Background,Source,Show
1800,,,,,,,,,Première théorie sur l'effet de serre,"En 1824, Joseph Fourrier montre l’effet de l’atmosphère sur la température du sol. En 1861, John Tyndall identifie la vapeur d’eau et le dioxyde de carbone comme responsable de l’effet de serre, et suppose qu’une modification de leur concentration peut avoir un effet sur le climat. En 1896, Svante August Arrhenius estime qu’un doublement de la concentration en dioxyide de carbone devrait augmenter la température moyenne de 4°C. ",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/The-NASA-Earth%27s-Energy-Budget-Poster-Radiant-Energy-System-satellite-infrared-radiation-fluxes.jpg/960px-The-NASA-Earth%27s-Energy-Budget-Poster-Radiant-Energy-System-satellite-infrared-radiation-fluxes.jpg,Page wikipédia de Joseph Fourrier,,,,title,Recherche,,"Gouverner le climat, https://fr.wikipedia.org/wiki/Effet_de_serre",True
1800,,,,,,,,,Premières inquiétudes environnementales,"Premières inquiétudes (France, États-Unis) l'impact climatique des déforestations (Source : gouverner le climat)",https://fr.wikipedia.org/wiki/Cycle_du_carbone,,,,,,Processus politique,,Gouverner le climat,False
1900,,,,,,,,,Cycle du carbone,"Verdansky, Callendar : formalisation du cycle de carbone d'après les travaux de Black et Lavoisier au XVIII ^(e) siècle (Source : gouverner le climat)",,,,,,title,Recherche,,Gouverner le climat,False
1945,,,,,,,,,Développement de la météorologie théorique,"Charney, von Neumann, Rossby : développement de la météorologie théorique (Source : gouverner le climat)",,,,,,,Recherche,,Gouverner le climat,False
1953,,,,,,,,,Premiers modèles numériques,"D’une part, la première prévision du temps par ordinateur est réalisée en 1953. L’utilisation de l’ordinateur permet de réaliser rapidement beaucoup de calculs, et que le temps nécessaire à la prévision soit plus court que la durée de validité de la prévision. D’autre part, en 1955, une première simulation de la circulation globale de l’atmosphère est réalisée. Ce genre de simulation ouvre la voie à une famille de modèles, les GCM (Global Circulation Model), qui seront essentiels pour la modélisation du changement climatique. L’usage de l’ordinateur marque un tournant dans la prévision du temps. ",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Two_women_operating_ENIAC_%28full_resolution%29.jpg/1280px-Two_women_operating_ENIAC_%28full_resolution%29.jpg,,,,,,Recherche,,"Gouverner le climat, https://books.openedition.org/editionscnrs/11429, https://en.wikipedia.org/wiki/Numerical_weather_prediction#History",True
1958,,,,,,,,,L’ICSU crée le Comité sur la recherche s,L’ICSU crée le Comité sur la recherche spatiale (COSPAR) (Source : gouverner le climat),,,,,,,Expertise,,Gouverner le climat,False
1960,,,,,,,,,Keeling (« courbe de Keeling ») prouve l,Keeling (« courbe de Keeling ») prouve l'accumulation de CO_(2) dans l'atmosphère (Source : gouverner le climat),,,,,,,Recherche,,Gouverner le climat,False
1960,,,,,,,,,Lancement du satellite météorologique TI,Lancement du satellite météorologique TIROS aux États-Unis (Source : gouverner le climat),,,,,,,Expertise,,Gouverner le climat,False
1961,,,,,,,,,John F. Kennedy appelle à la coopération,John F. Kennedy appelle à la coopération climatologie (Source : gouverner le climat),https://en.wikipedia.org/wiki/General_circulation_model,,,,,,Processus politique,,Gouverner le climat,False
1962,,,,,,,,,Deux résolutions onusiennes appellent à,Deux résolutions onusiennes appellent à la créa d'instances internationales (Source : gouverner le climat),,,,,,,Processus politique,,Gouverner le climat,False
1963,,,,,,,,,L'OMM crée le World Weather watch,L'OMM crée le World Weather watch (Source : gouverner le climat),,,,,,,Expertise,,Gouverner le climat,False
1964,,,,,,,,,L'ICSU crée la Commission pour les scien,L'ICSU crée la Commission pour les sciences atmosphériques (CAS) (Source : gouverner le climat),,,,,,,Expertise,,Gouverner le climat,False
1967,,,,,,,,,Développement d'un premier modèle GCM au,Développement d'un premier modèle GCM au Geophysical Fluid Dynamics Laboratory (Source : gouverner le climat),,,,,,,Recherche,,Gouverner le climat,False
1967,,,,,,,,,L'ICSU et l'OMM créent le Programme glob,L'ICSU et l'OMM créent le Programme global de recherche atmosphérique (GARP) (Source : gouverner le climat),,,,,,,Expertise,,Gouverner le climat,False
1969,,,,,,,,,L'ICSU crée le Comité scientifique sur l,L'ICSU crée le Comité scientifique sur les problèmes environnementaux (SCOPE) (Source : gouverner le climat),,,,,,,Recherche,,Gouverner le climat,False
1971,,,,,,,,,Étude Man's Impact on climate (SMIC),Étude Man's Impact on climate (SMIC) (Source : gouverner le climat),,,,,,,Expertise,,Gouverner le climat,False
1972,,,,,,,,,Publication de Only One World (Ward / Du,Publication de Only One World (Ward / Dubos) (Source : gouverner le climat),,,,,,,Expertise,,Gouverner le climat,False
